input,cores,run1,run2,run3,run4,run5
30000,1,51.801231,51.919843,52.023412,51.772931,51.834219
30000,2,26.012042,26.102003,26.091874,26.027843,26.083112
30000,4,12.001843,12.109876,12.034827,12.057921,12.041273
30000,8,6.312984,6.389432,6.345128,6.354781,6.337592
30000,12,4.431175,4.813231,4.476183,4.524135,4.621092
30000,16,3.669292,3.428074,3.240326,3.298609,3.508998
30000,20,2.762561,2.955738,2.959231,2.962687,2.670508
30000,24,2.458092,2.486304,2.486807,2.367864,2.243506
30000,28,2.125843,2.126015,2.126318,2.125339,2.208485
30000,32,1.873075,1.870043,1.862217,1.858144,2.140063
30000,36,1.693237,1.688032,1.684139,1.663246,1.684751
30000,40,1.499243,1.529515,1.519044,1.538446,1.530359
30000,44,1.404199,1.381981,1.409755,1.408567,1.411236
30000,48,1.290953,1.291998,1.297167,1.301973,1.296918
30000,52,1.187379,1.199735,1.203975,1.173209,1.194310
30000,56,1.121172,1.251189,1.118244,1.125375,1.099652
30000,60,1.031367,1.029649,1.031677,1.053372,1.045919
30000,64,0.981288,0.975368,0.983533,0.976974,0.981792
30000,68,0.924709,0.944184,0.926226,0.923468,0.959638
30000,72,0.878930,0.870384,0.875136,0.871648,0.850538
30000,76,0.802887,0.805618,0.789325,0.831256,0.812221
30000,80,0.799320,0.798436,0.769190,0.769751,0.768283
30000,84,0.776309,0.770377,0.774263,0.766112,0.772299
30000,88,0.711059,0.699342,0.702019,0.881138,1.162623
30000,92,0.721776,0.705842,0.926418,0.685428,0.672930
30000,96,0.681189,0.918744,0.677301,0.660604,0.662946
30000,100,0.634422,0.701000,0.674648,0.645239,1.190803
30000,104,0.610713,0.626603,0.626836,0.626111,0.621908
30000,108,0.596996,0.599185,0.602319,0.609351,0.608934
30000,112,0.573128,0.578429,0.575832,0.579924,0.580213
30000,116,0.571596,0.559269,0.553370,0.573281,0.577096
30000,120,0.558311,0.558201,0.558125,0.579506,0.553461
30000,124,0.566185,0.546292,0.530366,0.709245,0.548538
30000,128,0.534801,0.538648,0.536033,0.538028,0.502096
30000,132,0.487981,0.487585,0.490104,0.489574,0.495403
30000,136,0.496841,0.513610,0.486978,0.473658,0.471670
30000,140,0.512280,0.479234,0.497036,0.464728,0.463483
30000,144,0.448861,0.451021,0.456325,0.450320,0.453746
30000,148,0.443573,0.447233,0.447835,0.446225,0.445324
30000,152,0.433022,0.434864,0.434027,0.425251,0.423201
30000,156,0.451428,0.414222,0.416907,0.416964,0.415331
30000,160,0.404007,0.404155,0.405196,0.405341,0.405863
30000,164,0.401381,0.402127,0.399588,0.402024,0.403192
30000,168,0.394429,0.403301,0.397188,0.395300,0.386639
30000,172,0.392840,0.393224,0.391507,0.394820,0.394724
30000,176,0.372865,0.381724,0.386777,0.388558,0.384049
30000,180,0.377631,0.368171,0.379322,0.369825,0.379531
30000,184,0.368361,0.365557,0.360336,0.370808,0.367039
30000,188,0.395031,0.359704,0.360910,0.358438,0.359381
30000,192,0.355457,0.356340,0.353607,0.354467,0.353463
